date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
02-05-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,130,8,125,6,Delhi Capitals,complete,5,0,Mohammed Shami,V Narayan Kutty,MA Gough,R Pandit,KN Ananthapadmanabhan,P Joshi,20,"KK Ahmed, PD Salt, DA Warner, PK Garg, RR Rossouw, MK Pandey, AR Patel, Aman Hakim Khan, RV Patel, A Nortje, Kuldeep Yadav, I Sharma","MM Sharma, WP Saha, Shubman Gill, HH Pandya, V Shankar, DA Miller, A Manohar, R Tewatia, Rashid Khan, Noor Ahmad, Mohammed Shami, J Little"
03-05-2023,2023,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Mumbai Indians,Mumbai Indians,field,214,3,216,4,Mumbai Indians,complete,0,6,Ishan Kishan,SS Raul,J Madanagopal,RJ Tucker,A Totre,Mohamad Rafi,20,"NT Ellis, P Simran Singh, S Dhawan, MW Short, LS Livingstone, JM Sharma, SM Curran, M Shahrukh Khan, Harpreet Brar, R Dhawan, RD Chahar, Arshdeep Singh","Akash Madhwal, RG Sharma, Ishan Kishan, C Green, SA Yadav, TH David, Tilak Varma, N Wadhera, PP Chawla, JC Archer, K Kartikeya, Arshad Khan"
03-05-2023,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,125,7,0,0,,no result,0,0,,Prakash Bhatt,AK Chaudhary,NA Patwardhan,CB Gaffaney,M Krishnadas,20,"M Vohra, KR Mayers, KS Sharma, KH Pandya, MP Stoinis, N Pooran, A Badoni, K Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","AT Rayudu, RD Gaikwad, DP Conway, AM Rahane, MM Ali, S Dube, RA Jadeja, MS Dhoni, M Pathirana, TU Deshpande, M Theekshana, DL Chahar"
04-05-2023,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,171,9,166,8,Kolkata Knight Riders,complete,5,0,CV Varun,V Narayan Kutty,KN Ananthapadmanabhan,MA Gough,MV Saidharshan Kumar,P Joshi,20,"JJ Roy, Rahmanullah Gurbaz, VR Iyer, N Rana, RK Singh, AD Russell, SP Narine, SN Thakur, AS Roy, Harshit Rana, VG Arora, CV Varun","T Natarajan, Abhishek Sharma, MA Agarwal, RA Tripathi, AK Markram, HC Brook, H Klaasen, Abdul Samad, M Jansen, B Kumar, M Markande, Kartik Tyagi"
05-05-2023,2023,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,118,10,119,1,Gujarat Titans,complete,0,9,Rashid Khan,J Srinath,HAS Khalid,VK Sharma,Nitin Menon,VM Dhokre,20,"YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, R Ashwin, R Parag, SO Hetmyer, Dhruv Jurel, TA Boult, A Zampa, Sandeep Sharma, YS Chahal","MM Sharma, WP Saha, Shubman Gill, HH Pandya, Rashid Khan, DA Miller, V Shankar, R Tewatia, A Manohar, Noor Ahmad, Mohammed Shami, J Little"
06-05-2023,2023,Delhi,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,181,4,187,3,Delhi Capitals,complete,0,7,PD Salt,M Nayyar,RJ Tucker,YC Barde,J Madanagopal,Mohamad Rafi,20,"HV Patel, V Kohli, F du Plessis, GJ Maxwell, MK Lomror, KD Karthik, Anuj Rawat, KM Jadhav, PWH de Silva, KV Sharma, Mohammed Siraj, JR Hazlewood","I Sharma, DA Warner, PD Salt, MR Marsh, RR Rossouw, AR Patel, Aman Hakim Khan, MK Pandey, Kuldeep Yadav, Mukesh Kumar, KK Ahmed, RV Patel"
06-05-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,139,8,140,4,Chennai Super Kings,complete,0,6,M Pathirana,V Narayan Kutty,BNJ Oxenford,Navdeep Singh,KN Ananthapadmanabhan,P Joshi,20,"R Goyal, C Green, Ishan Kishan, RG Sharma, N Wadhera, SA Yadav, T Stubbs, TH David, Arshad Khan, JC Archer, PP Chawla, Akash Madhwal","M Theekshana, RD Gaikwad, DP Conway, AM Rahane, AT Rayudu, S Dube, MS Dhoni, MM Ali, RA Jadeja, DL Chahar, M Pathirana, TU Deshpande"
07-05-2023,2023,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,214,2,217,6,Sunrisers Hyderabad,complete,0,4,GD Phillips,J Srinath,Nitin Menon,Vinod Seshan,VK Sharma,VM Dhokre,20,"OC McCoy, YBK Jaiswal, JC Buttler, SV Samson, SO Hetmyer, JE Root, Dhruv Jurel, R Ashwin, Sandeep Sharma, M Ashwin, K Yadav, YS Chahal","T Natarajan, Anmolpreet Singh, Abhishek Sharma, RA Tripathi, H Klaasen, AK Markram, GD Phillips, Abdul Samad, M Jansen, Vivrant Sharma, M Markande, B Kumar"
07-05-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,227,2,171,7,Gujarat Titans,complete,56,0,Shubman Gill,Prakash Bhatt,AK Chaudhary,A Nand Kishore,CB Gaffaney,M Krishnadas,20,"AS Joseph, WP Saha, Shubman Gill, HH Pandya, DA Miller, V Shankar, Rashid Khan, R Tewatia, A Manohar, MM Sharma, Mohammed Shami, Noor Ahmad","Yash Thakur, KR Mayers, Q de Kock, DJ Hooda, MP Stoinis, N Pooran, A Badoni, Swapnil Singh, KH Pandya, Ravi Bishnoi, Mohsin Khan, Avesh Khan"
08-05-2023,2023,Kolkata,"Eden Gardens, Kolkata",Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,179,7,182,5,Kolkata Knight Riders,complete,0,5,AD Russell,SS Raul,A Totre,J Madanagopal,UV Gandhe,Mohamad Rafi,20,"NT Ellis, P Simran Singh, S Dhawan, PBB Rajapaksa, LS Livingstone, JM Sharma, SM Curran, R Dhawan, M Shahrukh Khan, Harpreet Brar, RD Chahar, Arshdeep Singh","Suyash Sharma, JJ Roy, Rahmanullah Gurbaz, N Rana, VR Iyer, AD Russell, RK Singh, SN Thakur, SP Narine, Harshit Rana, VG Arora, CV Varun"
