date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
26-03-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,131,5,133,4,Kolkata Knight Riders,complete,0,6,UT Yadav,M Nayyar,AK Chaudhary,Nitin Menon,VK Sharma,Chirra Ravikanthreddy,20,"RD Gaikwad, DP Conway, RV Uthappa, AT Rayudu, RA Jadeja, S Dube, MS Dhoni, DJ Bravo, MJ Santner, AF Milne, TU Deshpande","AM Rahane, VR Iyer, N Rana, SS Iyer, SW Billings, SP Jackson, AD Russell, SP Narine, UT Yadav, Shivam Mavi, CV Varun"
27-03-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,177,5,179,6,Delhi Capitals,complete,0,4,Kuldeep Yadav,Prakash Bhatt,RJ Tucker,HAS Khalid,J Madanagopal,N Pandit,20,"RG Sharma, Ishan Kishan, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, TS Mills, JJ Bumrah, Basil Thampi","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, SN Thakur, AR Patel, Kuldeep Yadav, KK Ahmed, KL Nagarkoti"
27-03-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,205,2,208,5,Punjab Kings,complete,0,5,OF Smith,M Nayyar,Nitin Menon,YC Barde,AK Chaudhary,R Pandit,20,"F du Plessis, Anuj Rawat, V Kohli, KD Karthik, SE Rutherford, DJ Willey, Shahbaz Ahmed, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep","MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, OF Smith, Harpreet Brar, Arshdeep Singh, Sandeep Sharma, RD Chahar"
28-03-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,158,6,161,5,Gujarat Titans,complete,0,5,Mohammed Shami,DS Manohar,PG Pathak,VK Sharma,RJ Tucker,GR Sadashiv Iyer,20,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, Mohsin Khan, Ravi Bishnoi, Avesh Khan","Shubman Gill, MS Wade, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, LH Ferguson, Mohammed Shami, VR Aaron"
29-03-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,210,6,149,7,Rajasthan Royals,complete,61,0,SV Samson,Shakti Singh,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"JC Buttler, YBK Jaiswal, SV Samson, D Padikkal, SO Hetmyer, R Parag, NM Coulter-Nile, R Ashwin, YS Chahal, TA Boult, M Prasidh Krishna","KS Williamson, Abhishek Sharma, RA Tripathi, N Pooran, AK Markram, Abdul Samad, R Shepherd, Washington Sundar, B Kumar, Umran Malik, T Natarajan"
30-03-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,128,10,132,7,Royal Challengers Bangalore,complete,0,3,PWH de Silva,M Nayyar,J Madanagopal,Navdeep Singh,Nitin Menon,Chirra Ravikanthreddy,20,"AM Rahane, VR Iyer, SS Iyer, N Rana, SP Narine, SW Billings, SP Jackson, AD Russell, TG Southee, UT Yadav, CV Varun","F du Plessis, Anuj Rawat, V Kohli, DJ Willey, SE Rutherford, Shahbaz Ahmed, KD Karthik, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep"
31-03-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,210,7,211,4,Lucknow Super Giants,complete,0,6,E Lewis,J Srinath,RJ Tucker,VK Sharma,YC Barde,NA Patwardhan,20,"RV Uthappa, RD Gaikwad, MM Ali, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, DJ Bravo, TU Deshpande, Mukesh Choudhary","KL Rahul, Q de Kock, MK Pandey, E Lewis, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, AJ Tye, Ravi Bishnoi, Avesh Khan"
01-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,137,10,141,4,Kolkata Knight Riders,complete,0,6,UT Yadav,Prakash Bhatt,AK Chaudhary,HAS Khalid,J Madanagopal,A Totre,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, Harpreet Brar, OF Smith, RD Chahar, K Rabada, Arshdeep Singh","AM Rahane, VR Iyer, SS Iyer, SW Billings, N Rana, AD Russell, SP Narine, TG Southee, UT Yadav, CV Varun, Shivam Mavi"
02-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,171,6,157,9,Gujarat Titans,complete,14,0,LH Ferguson,Shakti Singh,KN Ananthapadmanabhan,UV Gandhe,BNJ Oxenford,Vinod Seshan,20,"MS Wade, Shubman Gill, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, VR Aaron, LH Ferguson, Mohammed Shami","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, KK Ahmed, Mustafizur Rahman"
02-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,193,8,170,8,Rajasthan Royals,complete,23,0,JC Buttler,DS Manohar,Nitin Menon,PG Pathak,VK Sharma,N Pandit,20,"JC Buttler, YBK Jaiswal, D Padikkal, SV Samson, SO Hetmyer, R Parag, R Ashwin, Navdeep Saini, TA Boult, YS Chahal, M Prasidh Krishna","Ishan Kishan, RG Sharma, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, JJ Bumrah, TS Mills, Basil Thampi"
03-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,180,8,126,10,Punjab Kings,complete,54,0,LS Livingstone,J Srinath,RJ Tucker,YC Barde,AK Chaudhary,R Pandit,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, JM Sharma, M Shahrukh Khan, OF Smith, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","RV Uthappa, RD Gaikwad, MM Ali, AT Rayudu, RA Jadeja, S Dube, MS Dhoni, DJ Bravo, D Pretorius, CJ Jordan, Mukesh Choudhary"
04-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,169,7,157,9,Lucknow Super Giants,complete,12,0,Avesh Khan,M Nayyar,J Madanagopal,Navdeep Singh,VK Sharma,GR Sadashiv Iyer,20,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda, A Badoni, KH Pandya, JO Holder, AJ Tye, Ravi Bishnoi, Avesh Khan","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Washington Sundar, Abdul Samad, R Shepherd, B Kumar, Umran Malik, T Natarajan"
05-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,169,3,173,6,Royal Challengers Bangalore,complete,0,4,KD Karthik,Prakash Bhatt,AK Chaudhary,HAS Khalid,Nitin Menon,NA Patwardhan,20,"JC Buttler, YBK Jaiswal, D Padikkal, SV Samson, SO Hetmyer, R Parag, R Ashwin, Navdeep Saini, TA Boult, YS Chahal, M Prasidh Krishna","F du Plessis, Anuj Rawat, V Kohli, DJ Willey, SE Rutherford, Shahbaz Ahmed, KD Karthik, HV Patel, PWH de Silva, Mohammed Siraj, Akash Deep"
06-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,161,4,162,5,Kolkata Knight Riders,complete,0,5,PJ Cummins,V Narayan Kutty,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,MV Saidharshan Kumar,20,"RG Sharma, Ishan Kishan, D Brevis, SA Yadav, Tilak Varma, KA Pollard, DR Sams, M Ashwin, TS Mills, JJ Bumrah, Basil Thampi","AM Rahane, VR Iyer, SS Iyer, SW Billings, N Rana, AD Russell, PJ Cummins, SP Narine, Rasikh Salam, UT Yadav, CV Varun"
07-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,149,3,155,4,Lucknow Super Giants,complete,0,6,Q de Kock,Shakti Singh,RJ Tucker,Tapan Sharma,J Madanagopal,A Totre,20,"PP Shaw, DA Warner, R Powell, RR Pant, SN Khan, Lalit Yadav, AR Patel, SN Thakur, Kuldeep Yadav, Mustafizur Rahman, A Nortje","KL Rahul, Q de Kock, E Lewis, DJ Hooda, KH Pandya, A Badoni, K Gowtham, JO Holder, Avesh Khan, AJ Tye, Ravi Bishnoi"
08-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Gujarat Titans,Gujarat Titans,field,189,9,190,4,Gujarat Titans,complete,0,6,Shubman Gill,J Srinath,AK Chaudhary,VK Sharma,PG Pathak,Chirra Ravikanthreddy,20,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma, OF Smith, M Shahrukh Khan, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","MS Wade, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, DG Nalkande, Mohammed Shami, LH Ferguson"
09-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,151,6,152,3,Royal Challengers Bangalore,complete,0,7,Anuj Rawat,V Narayan Kutty,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,Vinod Seshan,20,"Ishan Kishan, RG Sharma, D Brevis, SA Yadav, Tilak Varma, KA Pollard, Ramandeep Singh, JD Unadkat, M Ashwin, JJ Bumrah, Basil Thampi","F du Plessis, Anuj Rawat, V Kohli, KD Karthik, GJ Maxwell, DJ Willey, Shahbaz Ahmed, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep"
09-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,154,7,155,2,Sunrisers Hyderabad,complete,0,8,Abhishek Sharma,J Srinath,Navdeep Singh,Nitin Menon,YC Barde,N Pandit,20,"RV Uthappa, RD Gaikwad, MM Ali, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, DJ Bravo, CJ Jordan, M Theekshana, Mukesh Choudhary","Abhishek Sharma, KS Williamson, RA Tripathi, N Pooran, AK Markram, Shashank Singh, Washington Sundar, B Kumar, M Jansen, Umran Malik, T Natarajan"
10-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,165,6,162,8,Rajasthan Royals,complete,3,0,YS Chahal,J Srinath,AK Chaudhary,Tapan Sharma,PG Pathak,GR Sadashiv Iyer,20,"JC Buttler, D Padikkal, SV Samson, HE van der Dussen, SO Hetmyer, R Ashwin, R Parag, TA Boult, YS Chahal, KR Sen, M Prasidh Krishna","KL Rahul, Q de Kock, K Gowtham, JO Holder, DJ Hooda, A Badoni, KH Pandya, MP Stoinis, PVD Chameera, Avesh Khan, Ravi Bishnoi"
10-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,215,5,171,10,Delhi Capitals,complete,44,0,Kuldeep Yadav,Prakash Bhatt,CB Gaffaney,J Madanagopal,HAS Khalid,R Pandit,20,"PP Shaw, DA Warner, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, SN Khan, Kuldeep Yadav, Mustafizur Rahman, KK Ahmed","AM Rahane, VR Iyer, SS Iyer, N Rana, AD Russell, SW Billings, PJ Cummins, SP Narine, UT Yadav, Rasikh Salam, CV Varun"
11-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,162,7,168,3,Sunrisers Hyderabad,complete,0,8,KS Williamson,DS Manohar,Chirra Ravikanthreddy,RJ Tucker,VK Sharma,NA Patwardhan,20,"MS Wade, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, A Manohar, R Tewatia, Rashid Khan, DG Nalkande, Mohammed Shami, LH Ferguson","Abhishek Sharma, KS Williamson, RA Tripathi, N Pooran, AK Markram, Shashank Singh, Washington Sundar, M Jansen, B Kumar, T Natarajan, Umran Malik"
12-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,216,4,193,9,Chennai Super Kings,complete,23,0,S Dube,J Srinath,Nitin Menon,N Pandit,YC Barde,A Totre,20,"RD Gaikwad, RV Uthappa, MM Ali, S Dube, RA Jadeja, MS Dhoni, AT Rayudu, DJ Bravo, CJ Jordan, M Theekshana, Mukesh Choudhary","F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell, Shahbaz Ahmed, SS Prabhudessai, KD Karthik, PWH de Silva, Akash Deep, Mohammed Siraj, JR Hazlewood"
13-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,Mumbai Indians,Mumbai Indians,field,198,5,186,9,Punjab Kings,complete,12,0,MA Agarwal,V Narayan Kutty,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma, M Shahrukh Khan, OF Smith, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","RG Sharma, Ishan Kishan, D Brevis, Tilak Varma, SA Yadav, KA Pollard, JD Unadkat, M Ashwin, JJ Bumrah, TS Mills, Basil Thampi"
14-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,192,4,155,9,Gujarat Titans,complete,37,0,HH Pandya,M Nayyar,CB Gaffaney,R Pandit,J Madanagopal,Tapan Sharma,20,"MS Wade, Shubman Gill, V Shankar, HH Pandya, A Manohar, DA Miller, R Tewatia, Rashid Khan, Mohammed Shami, LH Ferguson, Yash Dayal","JC Buttler, D Padikkal, R Ashwin, SV Samson, HE van der Dussen, SO Hetmyer, R Parag, JDS Neesham, M Prasidh Krishna, YS Chahal, KR Sen"
15-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,175,8,176,3,Sunrisers Hyderabad,complete,0,7,RA Tripathi,Prakash Bhatt,GR Sadashiv Iyer,VK Sharma,HAS Khalid,PG Pathak,20,"VR Iyer, AJ Finch, SS Iyer, SP Narine, N Rana, SP Jackson, AD Russell, PJ Cummins, Aman Hakim Khan, UT Yadav, CV Varun","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, J Suchith, M Jansen, B Kumar, T Natarajan, Umran Malik"
16-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,199,4,181,9,Lucknow Super Giants,complete,18,0,KL Rahul,Shakti Singh,AK Chaudhary,NA Patwardhan,Navdeep Singh,YC Barde,20,"KL Rahul, Q de Kock, MK Pandey, MP Stoinis, DJ Hooda, KH Pandya, A Badoni, JO Holder, PVD Chameera, Avesh Khan, Ravi Bishnoi","Ishan Kishan, RG Sharma, D Brevis, SA Yadav, Tilak Varma, KA Pollard, FA Allen, JD Unadkat, M Ashwin, JJ Bumrah, TS Mills"
16-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,189,5,173,7,Royal Challengers Bangalore,complete,16,0,KD Karthik,J Srinath,Chirra Ravikanthreddy,J Madanagopal,CB Gaffaney,N Pandit,20,"F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell, SS Prabhudessai, Shahbaz Ahmed, KD Karthik, PWH de Silva, Mohammed Siraj, HV Patel, JR Hazlewood","PP Shaw, DA Warner, MR Marsh, RR Pant, R Powell, Lalit Yadav, SN Thakur, AR Patel, Kuldeep Yadav, Mustafizur Rahman, KK Ahmed"
17-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,169,5,170,7,Gujarat Titans,complete,0,3,DA Miller,V Narayan Kutty,KN Ananthapadmanabhan,UV Gandhe,BNJ Oxenford,Vinod Seshan,20,"RD Gaikwad, RV Uthappa, MM Ali, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, DJ Bravo, CJ Jordan, M Theekshana, Mukesh Choudhary","WP Saha, Shubman Gill, V Shankar, A Manohar, DA Miller, R Tewatia, Rashid Khan, AS Joseph, LH Ferguson, Mohammed Shami, Yash Dayal"
17-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,151,10,152,3,Sunrisers Hyderabad,complete,0,7,Umran Malik,DS Manohar,PG Pathak,R Pandit,RJ Tucker,A Totre,20,"S Dhawan, P Simran Singh, JM Bairstow, LS Livingstone, JM Sharma, M Shahrukh Khan, OF Smith, K Rabada, RD Chahar, VG Arora, Arshdeep Singh","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, J Suchith, B Kumar, M Jansen, T Natarajan, Umran Malik"
18-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,217,5,210,10,Rajasthan Royals,complete,7,0,YS Chahal,M Nayyar,GR Sadashiv Iyer,VK Sharma,Nitin Menon,NA Patwardhan,20,"JC Buttler, D Padikkal, SV Samson, SO Hetmyer, R Parag, KK Nair, R Ashwin, TA Boult, OC McCoy, M Prasidh Krishna, YS Chahal","AJ Finch, SP Narine, SS Iyer, N Rana, AD Russell, VR Iyer, SP Jackson, Shivam Mavi, PJ Cummins, UT Yadav, CV Varun"
19-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,181,6,163,8,Royal Challengers Bangalore,complete,18,0,F du Plessis,Prakash Bhatt,CB Gaffaney,N Pandit,J Madanagopal,Chirra Ravikanthreddy,20,"Anuj Rawat, F du Plessis, V Kohli, GJ Maxwell, SS Prabhudessai, Shahbaz Ahmed, KD Karthik, HV Patel, PWH de Silva, JR Hazlewood, Mohammed Siraj","Q de Kock, KL Rahul, MK Pandey, KH Pandya, DJ Hooda, A Badoni, MP Stoinis, JO Holder, PVD Chameera, Ravi Bishnoi, Avesh Khan"
20-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals,Delhi Capitals,field,115,10,119,1,Delhi Capitals,complete,0,9,Kuldeep Yadav,Shakti Singh,RJ Tucker,Tapan Sharma,AK Chaudhary,R Pandit,20,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma, M Shahrukh Khan, K Rabada, NT Ellis, RD Chahar, Arshdeep Singh, VG Arora","PP Shaw, DA Warner, SN Khan, RR Pant, R Powell, Lalit Yadav, SN Thakur, AR Patel, Kuldeep Yadav, Mustafizur Rahman, KK Ahmed"
21-04-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,155,7,156,7,Chennai Super Kings,complete,0,3,Mukesh Choudhary,V Narayan Kutty,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"RG Sharma, Ishan Kishan, D Brevis, SA Yadav, Tilak Varma, HR Shokeen, KA Pollard, DR Sams, JD Unadkat, RP Meredith, JJ Bumrah","RD Gaikwad, RV Uthappa, MJ Santner, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, D Pretorius, DJ Bravo, Mukesh Choudhary, M Theekshana"
22-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,222,2,207,8,Rajasthan Royals,complete,15,0,JC Buttler,DS Manohar,NA Patwardhan,Nitin Menon,YC Barde,GR Sadashiv Iyer,20,"JC Buttler, D Padikkal, SV Samson, SO Hetmyer, R Parag, KK Nair, R Ashwin, TA Boult, OC McCoy, M Prasidh Krishna, YS Chahal","PP Shaw, DA Warner, SN Khan, RR Pant, Lalit Yadav, AR Patel, SN Thakur, R Powell, Kuldeep Yadav, Mustafizur Rahman, KK Ahmed"
23-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,68,10,72,1,Sunrisers Hyderabad,complete,0,9,M Jansen,M Nayyar,Chirra Ravikanthreddy,J Madanagopal,CB Gaffaney,HAS Khalid,20,"F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell, SS Prabhudessai, Shahbaz Ahmed, KD Karthik, HV Patel, PWH de Silva, JR Hazlewood, Mohammed Siraj","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, J Suchith, B Kumar, M Jansen, T Natarajan, Umran Malik"
23-04-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,156,9,148,8,Gujarat Titans,complete,8,0,Rashid Khan,V Narayan Kutty,KN Ananthapadmanabhan,UV Gandhe,BNJ Oxenford,Vinod Seshan,20,"WP Saha, Shubman Gill, HH Pandya, DA Miller, R Tewatia, Rashid Khan, A Manohar, LH Ferguson, AS Joseph, Yash Dayal, Mohammed Shami","SW Billings, SP Narine, SS Iyer, N Rana, RK Singh, VR Iyer, AD Russell, Shivam Mavi, UT Yadav, TG Southee, CV Varun"
24-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,168,6,132,8,Lucknow Super Giants,complete,36,0,KL Rahul,Shakti Singh,M Erasmus,HAS Khalid,VK Sharma,N Pandit,20,"Q de Kock, KL Rahul, MK Pandey, MP Stoinis, KH Pandya, DJ Hooda, A Badoni, JO Holder, PVD Chameera, Ravi Bishnoi, Mohsin Khan","Ishan Kishan, RG Sharma, D Brevis, SA Yadav, Tilak Varma, KA Pollard, DR Sams, JD Unadkat, HR Shokeen, JJ Bumrah, RP Meredith"
25-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,187,4,176,6,Punjab Kings,complete,11,0,S Dhawan,Prakash Bhatt,M Erasmus,Tapan Sharma,PG Pathak,R Pandit,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, JM Bairstow, JM Sharma, R Dhawan, K Rabada, RD Chahar, Arshdeep Singh, Sandeep Sharma","RD Gaikwad, RV Uthappa, MJ Santner, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, DJ Bravo, Mukesh Choudhary, M Theekshana"
26-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,144,8,115,10,Rajasthan Royals,complete,29,0,R Parag,V Narayan Kutty,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,MV Saidharshan Kumar,20,"JC Buttler, D Padikkal, R Ashwin, SV Samson, DJ Mitchell, R Parag, SO Hetmyer, TA Boult, M Prasidh Krishna, YS Chahal, KR Sen","V Kohli, F du Plessis, RM Patidar, GJ Maxwell, Shahbaz Ahmed, SS Prabhudessai, KD Karthik, PWH de Silva, HV Patel, Mohammed Siraj, JR Hazlewood"
27-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,195,6,199,5,Gujarat Titans,complete,0,5,Umran Malik,Shakti Singh,CB Gaffaney,Navdeep Singh,J Madanagopal,GR Sadashiv Iyer,20,"Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Washington Sundar, Shashank Singh, M Jansen, B Kumar, T Natarajan, Umran Malik","WP Saha, Shubman Gill, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, LH Ferguson, AS Joseph, Yash Dayal, Mohammed Shami"
28-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,146,9,150,6,Delhi Capitals,complete,0,4,Kuldeep Yadav,DS Manohar,AK Chaudhary,PG Pathak,Nitin Menon,A Totre,20,"AJ Finch, VR Iyer, SS Iyer, B Indrajith, SP Narine, N Rana, AD Russell, RK Singh, UT Yadav, TG Southee, Harshit Rana","PP Shaw, DA Warner, MR Marsh, Lalit Yadav, RR Pant, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, Mustafizur Rahman, C Sakariya"
29-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,153,8,133,8,Lucknow Super Giants,complete,20,0,KH Pandya,V Narayan Kutty,MA Gough,UV Gandhe,KN Ananthapadmanabhan,Vinod Seshan,20,"Q de Kock, KL Rahul, DJ Hooda, KH Pandya, MP Stoinis, A Badoni, JO Holder, PVD Chameera, Mohsin Khan, Avesh Khan, Ravi Bishnoi","MA Agarwal, S Dhawan, JM Bairstow, PBB Rajapaksa, LS Livingstone, JM Sharma, R Dhawan, K Rabada, RD Chahar, Arshdeep Singh, Sandeep Sharma"
30-04-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,170,6,174,4,Gujarat Titans,complete,0,6,R Tewatia,Shakti Singh,HAS Khalid,VK Sharma,Nitin Menon,Chirra Ravikanthreddy,20,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, KD Karthik, Shahbaz Ahmed, MK Lomror, PWH de Silva, HV Patel, JR Hazlewood, Mohammed Siraj","WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, R Tewatia, Rashid Khan, PJ Sangwan, AS Joseph, LH Ferguson, Mohammed Shami"
30-04-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,158,6,161,5,Mumbai Indians,complete,0,5,SA Yadav,M Nayyar,BNJ Oxenford,YC Barde,Navdeep Singh,Tapan Sharma,20,"JC Buttler, D Padikkal, SV Samson, DJ Mitchell, SO Hetmyer, R Parag, R Ashwin, TA Boult, M Prasidh Krishna, YS Chahal, KR Sen","RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, KA Pollard, TH David, DR Sams, HR Shokeen, K Kartikeya, JJ Bumrah, RP Meredith"
